"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-01","2018","01","01","†","-9.0","","-21.0","","-15.0","","33.0","","0.0","","0.0","","2.4","","1.0","","15","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-02","2018","01","02","†","-6.5","","-13.5","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-03","2018","01","03","†","-6.0","","-9.5","","-7.8","","25.8","","0.0","","0.0","","1.8","","0.6","","17","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-04","2018","01","04","†","-9.0","","-15.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-05","2018","01","05","†","-14.0","","-19.5","","-16.8","","34.8","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-06","2018","01","06","†","-13.5","","-23.0","","-18.3","","36.3","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-07","2018","01","07","†","-1.0","","-20.5","","-10.8","","28.8","","0.0","","0.0","","2.6","","3.8","","15","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-08","2018","01","08","†","1.5","","-4.5","","-1.5","","19.5","","0.0","","0.0","T","2.4","","3.8","","18","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-09","2018","01","09","†","0.5","","-2.0","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-10","2018","01","10","†","8.0","","-6.5","","0.8","","17.2","","0.0","","1.6","","0.0","","1.6","","18","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-11","2018","01","11","†","14.5","","4.0","","9.3","","8.7","","0.0","","12.0","","0.0","","12.0","","8","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-12","2018","01","12","†","12.0","","-7.5","","2.3","","15.7","","0.0","","12.2","","2.8","","18.6","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-13","2018","01","13","†","-9.5","","-12.5","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-14","2018","01","14","†","-5.0","","-15.5","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-15","2018","01","15","†","-5.0","","-12.5","","-8.8","","26.8","","0.0","","0.0","","3.6","","2.2","","3","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-16","2018","01","16","†","-2.5","","-8.5","","-5.5","","23.5","","0.0","","0.0","","0.2","","0.0","","6","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-17","2018","01","17","†","-6.5","","-11.5","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-18","2018","01","18","†","-3.0","","-8.5","","-5.8","","23.8","","0.0","","0.0","","0.0","T","0.0","","5","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-19","2018","01","19","†","2.0","","-5.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-20","2018","01","20","†","5.5","","0.5","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-21","2018","01","21","†","4.0","","-1.5","","1.3","","16.7","","0.0","","1.9","","0.0","","1.9","","3","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-22","2018","01","22","†","6.0","","1.5","","3.8","","14.2","","0.0","","18.6","","0.0","","18.6","","0","T","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-23","2018","01","23","†","7.5","","1.5","","4.5","","13.5","","0.0","","0.8","","0.0","T","0.8","","0","T","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-24","2018","01","24","†","-4.5","","-7.5","","-6.0","","24.0","","0.0","","0.0","","0.0","T","0.0","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-25","2018","01","25","†","-2.0","","-10.5","","-6.3","","24.3","","0.0","","0.0","","0.0","T","0.0","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-26","2018","01","26","†","7.5","","-5.0","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-27","2018","01","27","†","9.0","","3.5","","6.3","","11.7","","0.0","","2.4","","0.0","","2.4","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-28","2018","01","28","†","7.5","","-1.5","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-29","2018","01","29","†","-0.5","","-3.5","","-2.0","","20.0","","0.0","","0.0","","7.6","","11.0","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-30","2018","01","30","†","-7.5","","-11.5","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2018-01-31","2018","01","31","†","2.5","","-17.5","","-7.5","","25.5","","0.0","","0.0","","0.0","T","0.0","","7","","","","",""
