"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-01","2019","01","01","†","2.5","","-2.5","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-02","2019","01","02","†","1.0","","-7.0","","-3.0","","21.0","","0.0","","1.1","","0.0","T","1.1","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-03","2019","01","03","†","1.5","","-2.5","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-04","2019","01","04","†","7.0","","0.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-05","2019","01","05","†","3.5","","0.5","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-06","2019","01","06","†","4.5","","-3.0","","0.8","","17.2","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-07","2019","01","07","†","8.0","","-6.0","","1.0","","17.0","","0.0","","3.0","","0.4","","3.8","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-08","2019","01","08","†","9.5","","0.0","","4.8","","13.2","","0.0","","4.9","","0.0","","4.9","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-09","2019","01","09","†","0.0","","-2.5","","-1.3","","19.3","","0.0","","0.0","","0.4","","0.2","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-10","2019","01","10","†","-4.0","","-9.0","","-6.5","","24.5","","0.0","","0.0","","0.0","T","0.0","","0","T","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-11","2019","01","11","†","-6.0","","-10.5","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-12","2019","01","12","†","-3.5","","-8.5","","-6.0","","24.0","","0.0","","0.0","","0.0","T","0.0","","0","T","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-13","2019","01","13","†","-5.0","","-8.0","","-6.5","","24.5","","0.0","","0.0","","0.0","T","0.0","","0","T","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-14","2019","01","14","†","-1.0","","-11.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-15","2019","01","15","†","0.0","","-6.5","","-3.3","","21.3","","0.0","","0.0","T","0.0","T","0.0","T","0","T","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-16","2019","01","16","†","0.0","","-8.0","","-4.0","","22.0","","0.0","","0.0","","0.4","","0.2","","0","T","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-17","2019","01","17","†","-3.5","","-14.0","","-8.8","","26.8","","0.0","","0.0","","1.4","","0.8","","0","T","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-18","2019","01","18","†","0.5","","-5.0","","-2.3","","20.3","","0.0","","0.0","","1.2","","0.4","","1","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-19","2019","01","19","†","-7.5","","-9.5","","-8.5","","26.5","","0.0","","0.0","","20.4","","26.6","","2","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-20","2019","01","20","†","-10.0","","-16.0","","-13.0","","31.0","","0.0","","0.0","","0.2","","0.2","","21","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-21","2019","01","21","†","-10.5","","-19.5","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-22","2019","01","22","†","1.0","","-22.0","","-10.5","","28.5","","0.0","","1.0","","0.8","","3.4","","16","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-23","2019","01","23","†","6.5","","-7.0","","-0.3","","18.3","","0.0","","10.2","","3.0","","14.4","","15","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-24","2019","01","24","†","1.5","","-3.0","","-0.8","","18.8","","0.0","","0.0","","0.8","","0.2","","9","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2019-01-25","2019","01","25","†","-4.0","","-10.0","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","","10","","","","",""
