"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-01","2014","01","01","†","-5.7","","-12.5","","-9.1","","27.1","","0.0","","0.0","","10.2","","5.8","","10","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-02","2014","01","02","†","-10.6","","-13.8","","-12.2","","30.2","","0.0","","0.0","","8.6","","8.6","","19","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-03","2014","01","03","†","-6.8","","-18.9","","-12.9","","30.9","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-04","2014","01","04","†","0.2","","-17.1","","-8.5","","26.5","","0.0","","0.0","","0.4","","0.2","","21","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-05","2014","01","05","†","1.0","","-1.4","","-0.2","","18.2","","0.0","","14.4","","2.6","","17.2","","20","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-06","2014","01","06","†","-4.4","","-16.4","","-10.4","","28.4","","0.0","","0.0","","0.4","","0.2","","19","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-07","2014","01","07","†","-13.6","","-22.5","","-18.1","","36.1","","0.0","","0.0","","0.0","T","0.0","T","16","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-08","2014","01","08","†","-6.4","","-16.7","","-11.6","","29.6","","0.0","","0.0","","0.0","T","0.0","T","13","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-09","2014","01","09","†","-3.3","","-14.2","","-8.8","","26.8","","0.0","","0.0","","2.6","","1.6","","13","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-10","2014","01","10","†","5.9","","-8.1","","-1.1","","19.1","","0.0","","6.0","","0.0","T","6.0","","16","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-11","2014","01","11","†","8.2","","2.1","","5.2","","12.8","","0.0","","5.0","","0.0","T","5.0","","15","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-12","2014","01","12","†","4.8","","0.6","","2.7","","15.3","","0.0","","0.0","","0.0","T","0.0","T","12","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-13","2014","01","13","†","8.3","","0.3","","4.3","","13.7","","0.0","","2.1","","0.0","","2.1","","11","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-14","2014","01","14","†","5.4","","-0.5","","2.5","","15.5","","0.0","","0.0","","0.0","T","0.0","T","7","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-15","2014","01","15","†","0.2","","-2.8","","-1.3","","19.3","","0.0","","0.0","","0.2","","0.2","","5","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-16","2014","01","16","†","-0.8","","-5.3","","-3.1","","21.1","","0.0","","0.0","","2.8","","1.8","","5","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-17","2014","01","17","†","3.2","","-2.2","","0.5","","17.5","","0.0","","0.0","","0.6","","0.4","","8","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-18","2014","01","18","†","-5.2","","-8.7","","-7.0","","25.0","","0.0","","0.0","","1.0","","1.1","","7","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-19","2014","01","19","†","-1.4","","-10.1","","-5.8","","23.8","","0.0","","0.0","","0.4","","0.4","","8","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-20","2014","01","20","†","-3.2","","-9.8","","-6.5","","24.5","","0.0","","0.0","","0.4","","0.2","","8","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-21","2014","01","21","†","-12.8","","-15.7","","-14.3","","32.3","","0.0","","0.0","","1.8","","0.8","","8","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-22","2014","01","22","†","-12.2","","-21.1","","-16.7","","34.7","","0.0","","0.0","","1.8","","0.8","","10","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-23","2014","01","23","†","-10.2","","-14.9","","-12.6","","30.6","","0.0","","0.0","","0.4","","0.2","","10","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-24","2014","01","24","†","-6.7","","-18.7","","-12.7","","30.7","","0.0","","0.0","","3.6","","2.8","","10","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-25","2014","01","25","†","-2.6","","-10.3","","-6.5","","24.5","","0.0","","0.0","","1.8","","1.6","","12","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-26","2014","01","26","†","-2.7","","-17.3","","-10.0","","28.0","","0.0","","0.0","","9.8","","5.2","","13","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2014-01-27","2014","01","27","†","-7.0","","-16.1","","-11.6","","29.6","","0.0","","0.0","","0.0","T","0.0","T","21","","","","",""
