"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2023-01-01","2023","01","01","†","5.0","","3.0","","4.0","","14.0","","0.0","","1.0","","0.0","","1.0","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2023-01-02","2023","01","02","†","5.0","","1.5","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2023-01-03","2023","01","03","†","4.0","","1.5","","2.8","","15.2","","0.0","","9.6","","0.0","","9.6","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2023-01-04","2023","01","04","†","4.5","","2.5","","3.5","","14.5","","0.0","","30.1","","0.0","","30.1","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2023-01-05","2023","01","05","†","4.5","","2.5","","3.5","","14.5","","0.0","","1.1","","0.0","T","1.1","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2023-01-06","2023","01","06","†","3.0","","0.5","","1.8","","16.2","","0.0","","0.2","","0.0","T","0.2","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2023-01-07","2023","01","07","†","3.5","","-1.0","","1.3","","16.7","","0.0","","0.0","","0.0","T","0.0","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2023-01-08","2023","01","08","†","-1.5","","-4.0","","-2.8","","20.8","","0.0","","0.0","","0.0","T","0.0","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2023-01-09","2023","01","09","†","4.5","","-4.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2023-01-10","2023","01","10","†","1.0","","-1.0","","0.0","","18.0","","0.0","","0.0","","0.2","","0.2","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2023-01-11","2023","01","11","†","2.5","","-3.5","","-0.5","","18.5","","0.0","","0.2","","0.0","T","0.2","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2023-01-12","2023","01","12","†","5.0","","-1.0","","2.0","","16.0","","0.0","","4.2","","5.6","","10.2","","0","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2023-01-13","2023","01","13","†","-2.5","","-4.0","","-3.3","","21.3","","0.0","","0.0","","2.0","","2.0","","5","","","","",""
"-79.56","43.18","GRIMSBY MOUNTAIN","6133055","2023-01-14","2023","01","14","†","-2.5","","-9.0","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
