,Date,Temperature,Mean Temp (°C),Max Temp (°C),Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
0,2016-01-01,-3.4325,-1.3,1.1,-3.6,0.0,0.4,0.2,1.0
1,2016-01-02,-2.665,-0.7,1.8,-3.2,0.0,0.0,0.0,1.0
2,2016-01-03,-2.1775,-0.6,2.1,-3.2,0.0,0.0,0.0,1.0
3,2016-01-04,-14.0825,-10.9,-9.8,-11.9,0.0,0.0,0.0,1.0
4,2016-01-05,-11.2875,-8.9,-2.2,-15.6,0.0,0.0,0.0,0.0
5,2016-01-06,-5.9925,-1.5,3.5,-6.4,0.0,0.0,0.0,0.0
6,2016-01-07,-4.07,-0.7,4.1,-5.4,0.0,0.0,0.0,0.0
7,2016-01-08,-1.2175,2.1,6.3,-2.2,4.5,0.0,4.5,0.0
8,2016-01-09,2.7775,5.4,9.5,1.2,4.5,0.0,4.5,0.0
9,2016-01-10,2.005,3.4,8.8,-2.1,11.3,0.6,12.3,0.0
10,2016-01-11,-7.49,-6.8,-3.2,-10.3,0.0,6.6,2.7,0.0
11,2016-01-12,-6.1825,-6.0,-1.2,-10.8,0.0,7.0,4.0,7.0
12,2016-01-13,-9.1675,-8.4,-5.9,-10.8,0.0,1.8,0.8,11.0
13,2016-01-14,-6.9625,-4.9,-1.2,-8.5,0.0,0.0,0.0,11.0
14,2016-01-15,-0.3775,0.7,4.8,-3.4,3.1,0.0,3.1,8.0
15,2016-01-16,-0.6725,0.3,2.4,-1.8,0.0,0.0,0.0,3.0
16,2016-01-17,-6.15,-5.3,-1.1,-9.5,0.0,1.4,1.1,2.0
17,2016-01-18,-9.81,-8.5,-5.6,-11.3,0.0,8.0,3.2,3.0
18,2016-01-19,-9.435,-8.9,-4.0,-13.8,0.0,0.0,0.0,8.0
19,2016-01-20,-6.15,-4.3,-1.7,-6.9,0.0,0.0,0.0,7.0
20,2016-01-21,-8.175,-5.9,-2.1,-9.7,0.0,1.6,0.3,6.0
21,2016-01-22,-8.8225,-5.8,-2.8,-8.8,0.0,0.8,0.0,7.0
22,2016-01-23,-10.42,-6.2,-4.4,-7.9,0.0,0.0,0.0,7.0
23,2016-01-24,-6.6625,-6.1,0.2,-12.4,0.0,0.0,0.0,6.0
24,2016-01-25,-2.23,2.4,6.3,-1.6,1.0,0.0,1.0,5.0
25,2016-01-26,2.1525,3.7,6.7,0.6,0.8,0.0,0.8,1.0
26,2016-01-27,-1.8275,1.1,3.3,-1.1,0.0,0.6,0.2,0.0
27,2016-01-28,-1.285,0.2,2.6,-2.3,0.0,0.4,0.4,0.0
28,2016-01-29,-5.82,-4.3,-2.0,-6.6,0.0,0.0,0.0,0.0
29,2016-01-30,-2.4475,-0.4,7.6,-8.3,0.0,0.0,0.0,0.0
30,2016-01-31,3.8675,7.5,11.9,3.1,4.1,0.0,4.1,0.0
31,2016-02-01,2.7575,5.2,8.3,2.1,0.0,0.0,0.0,0.0
32,2016-02-02,-0.645,2.4,8.3,-3.6,15.4,0.0,15.7,0.0
33,2016-02-03,5.505,7.6,14.2,0.9,1.2,0.0,1.2,0.0
34,2016-02-04,0.125,3.3,5.6,1.0,0.0,0.2,0.2,0.0
35,2016-02-05,-2.09,0.5,2.4,-1.5,0.0,0.0,0.0,0.0
36,2016-02-06,-0.97,2.1,5.6,-1.4,0.0,0.0,0.0,0.0
37,2016-02-07,-0.3175,3.3,8.7,-2.2,0.0,0.0,0.0,0.0
38,2016-02-08,1.11,4.5,6.9,2.1,2.4,0.2,3.7,0.0
39,2016-02-09,-0.685,1.4,2.9,-0.1,0.0,2.6,1.8,0.0
40,2016-02-10,-4.775,-4.7,-0.5,-8.8,0.0,1.6,1.2,3.0
41,2016-02-11,-12.7775,-11.3,-8.0,-14.5,0.0,0.0,0.0,3.0
42,2016-02-12,-8.975,-8.1,-2.8,-13.3,0.0,0.4,0.2,2.0
43,2016-02-13,-18.875,-16.2,-13.1,-19.3,0.0,1.2,0.6,3.0
44,2016-02-14,-19.1375,-14.9,-9.4,-20.4,0.0,0.0,0.0,4.0
45,2016-02-15,-8.765,-8.3,-0.9,-15.6,0.0,3.8,4.5,4.0
46,2016-02-16,-3.905,-0.8,0.5,-2.1,0.0,7.4,9.0,8.0
47,2016-02-17,-5.6225,-2.5,1.1,-6.0,0.0,0.0,0.0,16.0
48,2016-02-18,-12.335,-7.9,-1.7,-14.1,0.0,0.0,0.0,15.0
49,2016-02-19,-1.59,0.3,9.1,-8.6,1.0,0.0,1.0,14.0
50,2016-02-20,4.9325,9.1,13.6,4.5,0.0,0.0,0.0,4.0
51,2016-02-21,0.9725,4.1,7.3,0.8,0.0,0.0,0.0,0.0
52,2016-02-22,-3.6125,-0.7,1.4,-2.7,0.0,0.0,0.0,0.0
53,2016-02-23,-2.3575,-2.1,1.6,-5.8,0.0,0.0,0.0,0.0
54,2016-02-24,-0.9275,0.5,2.4,-1.5,37.0,0.4,38.8,0.0
55,2016-02-25,-1.3925,-0.8,0.7,-2.2,0.0,4.4,4.4,0.0
56,2016-02-26,-9.1375,-5.0,-1.3,-8.6,0.0,0.0,0.0,4.0
57,2016-02-27,-2.6625,-0.6,5.4,-6.6,0.0,0.0,0.0,3.0
58,2016-02-28,4.08,9.5,14.8,4.1,6.8,0.0,6.8,0.0
59,2016-02-29,1.2575,1.5,4.3,-1.4,0.2,0.0,0.2,0.0
60,2016-03-01,-7.4875,-4.9,-3.3,-6.4,0.0,9.0,15.3,0.0
61,2016-03-02,-9.6725,-5.9,-2.3,-9.5,0.0,0.0,0.0,9.0
62,2016-03-03,-10.295,-4.7,-1.7,-7.6,0.0,0.2,0.0,7.0
63,2016-03-04,-7.545,-3.1,1.2,-7.3,0.0,0.0,0.0,7.0
64,2016-03-05,-7.74,-1.0,1.9,-3.8,0.0,0.0,0.0,7.0
65,2016-03-06,-6.5675,-1.2,4.7,-7.0,0.0,0.0,0.0,6.0
66,2016-03-07,3.095,7.3,15.2,-0.7,0.0,0.0,0.0,3.0
67,2016-03-08,5.4775,11.1,16.1,6.1,0.0,0.0,0.0,0.0
68,2016-03-09,13.4475,15.1,21.4,8.8,2.4,0.0,2.4,0.0
69,2016-03-10,8.885,9.9,12.6,7.1,11.3,0.0,11.3,0.0
70,2016-03-11,3.695,5.9,8.7,3.1,0.0,0.0,0.0,0.0
71,2016-03-12,6.2975,7.2,16.1,-1.7,0.0,0.0,0.0,0.0
72,2016-03-13,5.0975,5.3,6.4,4.2,9.9,0.0,9.9,0.0
73,2016-03-14,5.7125,8.5,13.6,3.3,6.8,0.0,6.8,0.0
74,2016-03-15,7.275,7.4,8.7,6.0,1.5,0.0,1.5,0.0
75,2016-03-16,4.525,10.0,15.6,4.4,2.8,0.0,2.8,0.0
76,2016-03-17,5.225,9.5,14.7,4.3,3.2,0.0,3.2,0.0
77,2016-03-18,1.1175,3.8,5.8,1.7,0.0,0.0,0.0,0.0
78,2016-03-19,-2.725,-1.1,1.1,-3.2,0.0,0.0,0.0,0.0
79,2016-03-20,-1.825,-0.6,2.5,-3.6,0.0,0.0,0.0,0.0
80,2016-03-21,-0.965,-0.1,4.8,-4.9,0.0,0.0,0.0,0.0
81,2016-03-22,0.3,2.7,10.0,-4.6,1.8,0.0,1.8,0.0
82,2016-03-23,1.6075,2.0,3.5,0.5,22.0,,22.0,0.0
83,2016-03-24,-1.075,2.8,5.5,0.0,16.0,0.0,16.0,1.0
