,Date,Temperature,Mean Temp (°C),Max Temp (°C),Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
0,2016-01-01,-3.4325,,,,,,,
1,2016-01-02,-2.665,,,,,,,
2,2016-01-03,-2.1775,,,,,,,
3,2016-01-04,-14.0825,,,,,,,
4,2016-01-05,-11.2875,,,,,,,
5,2016-01-06,-5.9925,,,,,,,
6,2016-01-07,-4.07,-2.3,6.0,-10.5,0.0,0.0,0.0,0.0
7,2016-01-08,-1.2175,-2.0,5.0,-9.0,5.3,0.0,5.3,2.0
8,2016-01-09,2.7775,,,,,,,
9,2016-01-10,2.005,,,,,,,
10,2016-01-11,-7.49,-7.5,-6.0,-9.0,0.0,4.0,4.0,1.0
11,2016-01-12,-6.1825,-6.8,-2.0,-11.5,0.0,2.0,2.0,5.0
12,2016-01-13,-9.1675,-8.8,-6.5,-11.0,0.0,0.0,0.0,7.0
13,2016-01-14,-6.9625,,,,,,,
14,2016-01-15,-0.3775,,,,,,,
15,2016-01-16,-0.6725,,,,,,,
16,2016-01-17,-6.15,,,,,,,
17,2016-01-18,-9.81,-6.5,-1.0,-12.0,0.0,0.0,0.0,0.0
18,2016-01-19,-9.435,-11.3,-4.0,-18.5,0.0,0.0,0.0,3.0
19,2016-01-20,-6.15,-5.0,-4.0,-6.0,0.0,1.0,1.0,3.0
20,2016-01-21,-8.175,-8.0,-3.5,-12.5,0.0,0.0,0.0,4.0
21,2016-01-22,-8.8225,-9.5,-2.0,-17.0,0.0,0.0,0.0,4.0
22,2016-01-23,-10.42,,,,,,,
23,2016-01-24,-6.6625,,,,,,,
24,2016-01-25,-2.23,-1.3,5.0,-7.5,0.0,0.0,0.0,4.0
25,2016-01-26,2.1525,1.8,6.5,-3.0,0.0,1.0,1.0,1.0
26,2016-01-27,-1.8275,-1.0,1.5,-3.5,0.0,0.0,0.0,1.0
27,2016-01-28,-1.285,-0.5,1.0,-2.0,0.0,4.0,4.0,0.0
28,2016-01-29,-5.82,-1.5,6.0,-9.0,0.0,0.0,0.0,4.0
