,Date,Temperature,Mean Temp (°C),Max Temp (°C),Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
0,2016-01-01,-3.4325,-2.6,-1.0,-4.2,0.0,0.8,0.8,2.0
1,2016-01-02,-2.665,-1.3,1.0,-3.5,0.0,0.0,0.0,0.0
2,2016-01-03,-2.1775,-4.4,0.9,-9.7,0.0,0.0,0.0,1.0
3,2016-01-04,-14.0825,-13.3,-9.6,-17.0,0.0,0.0,0.0,1.0
4,2016-01-05,-11.2875,-9.8,-2.4,-17.1,0.0,0.0,0.0,1.0
5,2016-01-06,-5.9925,-2.4,2.2,-7.0,0.0,0.0,0.0,1.0
6,2016-01-07,-4.07,-1.0,4.2,-6.1,0.0,0.0,0.0,0.0
7,2016-01-08,-1.2175,0.2,4.2,-3.9,2.6,0.0,2.6,0.0
8,2016-01-09,2.7775,5.6,8.7,2.5,5.0,0.0,5.0,0.0
9,2016-01-10,2.005,-0.3,7.3,-7.8,12.6,2.0,14.4,0.0
10,2016-01-11,-7.49,-10.0,-7.8,-12.2,0.0,0.6,0.6,1.0
11,2016-01-12,-6.1825,-6.5,-2.3,-10.6,0.0,7.4,7.4,3.0
12,2016-01-13,-9.1675,-10.0,-8.2,-11.8,0.0,3.8,3.8,10.0
13,2016-01-14,-6.9625,-5.6,-2.4,-8.8,0.0,0.4,0.4,11.0
14,2016-01-15,-0.3775,-0.1,3.4,-3.6,3.4,0.0,3.4,9.0
15,2016-01-16,-0.6725,-0.7,2.7,-4.1,0.0,0.0,0.0,2.0
16,2016-01-17,-6.15,-7.1,-2.1,-12.1,0.0,0.6,0.6,1.0
17,2016-01-18,-9.81,-9.8,-7.6,-12.0,0.0,0.8,0.8,3.0
18,2016-01-19,-9.435,-11.4,-6.0,-16.8,0.0,0.6,0.6,3.0
19,2016-01-20,-6.15,-8.1,-5.1,-11.1,0.0,0.2,0.2,3.0
20,2016-01-21,-8.175,-6.8,-2.8,-10.8,0.0,0.0,0.0,2.0
21,2016-01-22,-8.8225,-8.0,-4.5,-11.5,0.0,0.6,0.6,2.0
22,2016-01-23,-10.42,-9.1,-4.9,-13.2,0.0,0.0,0.0,3.0
23,2016-01-24,-6.6625,-8.0,-1.2,-14.8,0.0,0.0,0.0,3.0
24,2016-01-25,-2.23,1.3,4.2,-1.6,0.0,0.0,0.0,2.0
25,2016-01-26,2.1525,2.5,5.3,-0.4,1.0,0.0,1.0,1.0
26,2016-01-27,-1.8275,-0.9,0.5,-2.2,0.0,0.6,0.6,1.0
27,2016-01-28,-1.285,-0.8,1.4,-3.0,0.0,1.4,1.4,0.0
28,2016-01-29,-5.82,-5.3,-0.9,-9.7,0.0,0.0,0.0,1.0
29,2016-01-30,-2.4475,-0.9,6.3,-8.0,0.0,0.0,0.0,
30,2016-01-31,3.8675,5.3,9.8,0.8,6.4,0.0,6.4,
31,2016-02-01,2.7575,3.3,8.8,-2.2,0.0,0.0,0.0,
32,2016-02-02,-0.645,-0.9,2.8,-4.6,8.6,0.0,8.6,
33,2016-02-03,5.505,6.9,13.4,0.3,8.4,0.0,8.4,
34,2016-02-04,0.125,0.3,3.2,-2.6,0.4,0.0,0.4,0.0
35,2016-02-05,-2.09,-0.7,1.5,-2.9,0.0,0.4,0.4,1.0
36,2016-02-06,-0.97,0.5,3.0,-2.0,0.0,0.0,0.0,0.0
37,2016-02-07,-0.3175,1.7,6.6,-3.3,0.0,0.0,0.0,
38,2016-02-08,1.11,3.4,6.7,0.1,2.2,0.4,2.6,0.0
39,2016-02-09,-0.685,-0.6,1.3,-2.5,1.8,1.2,3.0,2.0
40,2016-02-10,-4.775,-7.2,-2.5,-11.9,0.0,4.0,4.0,4.0
41,2016-02-11,-12.7775,-13.6,-10.0,-17.2,,,,6.0
42,2016-02-12,-8.975,-9.9,-5.5,-14.2,0.0,0.2,0.2,6.0
43,2016-02-13,-18.875,-17.8,-13.1,-22.4,0.0,0.0,0.0,6.0
44,2016-02-14,-19.1375,-17.9,-11.5,-24.3,0.0,0.0,0.0,6.0
45,2016-02-15,-8.765,-8.7,-1.0,-16.4,0.8,0.4,1.2,5.0
46,2016-02-16,-3.905,-1.2,0.4,-2.7,0.0,8.0,8.0,8.0
47,2016-02-17,-5.6225,-6.4,-1.4,-11.4,0.0,1.2,1.2,11.0
48,2016-02-18,-12.335,-11.7,-5.4,-17.9,0.0,0.0,0.0,
49,2016-02-19,-1.59,0.2,9.7,-9.3,1.2,0.0,1.2,11.0
50,2016-02-20,4.9325,6.9,12.4,1.4,0.0,0.0,0.0,0.0
51,2016-02-21,0.9725,1.6,6.2,-3.1,0.0,0.0,0.0,0.0
52,2016-02-22,-3.6125,-1.9,0.5,-4.3,0.0,0.0,0.0,
53,2016-02-23,-2.3575,-3.0,0.0,-5.9,0.0,0.0,0.0,
54,2016-02-24,-0.9275,0.3,1.5,-0.9,47.2,3.8,51.0,0.0
55,2016-02-25,-1.3925,-2.1,1.2,-5.3,1.6,5.2,6.8,0.0
56,2016-02-26,-9.1375,-6.7,-3.0,-10.3,0.0,0.0,0.0,4.0
57,2016-02-27,-2.6625,-1.8,4.6,-8.1,0.0,0.0,0.0,3.0
58,2016-02-28,4.08,8.7,14.9,2.5,1.2,0.0,1.2,0.0
59,2016-02-29,1.2575,1.6,10.1,-6.9,6.2,0.0,6.2,
60,2016-03-01,-7.4875,-7.0,-3.9,-10.1,0.0,5.8,5.8,1.0
61,2016-03-02,-9.6725,-7.6,-5.0,-10.1,0.0,11.8,11.8,15.0
62,2016-03-03,-10.295,-5.8,-3.3,-8.3,0.0,0.2,0.2,12.0
63,2016-03-04,-7.545,-5.3,-1.5,-9.0,0.0,0.0,0.0,10.0
64,2016-03-05,-7.74,-3.2,-0.4,-6.0,0.0,1.2,1.2,7.0
65,2016-03-06,-6.5675,-4.7,1.4,-10.8,0.0,0.0,0.0,6.0
66,2016-03-07,3.095,6.3,11.5,1.1,0.0,0.0,0.0,
67,2016-03-08,5.4775,11.1,17.5,4.7,0.0,0.0,0.0,0.0
68,2016-03-09,13.4475,12.9,18.6,7.1,0.0,0.0,0.0,0.0
69,2016-03-10,8.885,9.4,13.8,4.9,8.8,0.0,8.8,
70,2016-03-11,3.695,3.8,8.7,-1.2,0.0,0.0,0.0,
71,2016-03-12,6.2975,5.5,14.4,-3.4,0.0,0.0,0.0,
72,2016-03-13,5.0975,5.2,7.8,2.6,3.0,0.0,3.0,
73,2016-03-14,5.7125,7.0,11.4,2.5,10.7,0.0,10.7,
74,2016-03-15,7.275,7.1,8.9,5.3,15.2,0.0,15.2,
75,2016-03-16,4.525,9.0,13.9,4.1,3.4,0.0,3.4,
76,2016-03-17,5.225,7.5,11.5,3.4,2.4,0.0,2.4,
77,2016-03-18,1.1175,1.6,6.7,-3.6,0.0,0.0,0.0,
78,2016-03-19,-2.725,-2.3,0.9,-5.4,0.0,0.0,0.0,
79,2016-03-20,-1.825,-2.2,1.7,-6.0,0.0,0.0,0.0,
80,2016-03-21,-0.965,-0.3,4.1,-4.7,0.0,0.0,0.0,
81,2016-03-22,0.3,2.1,9.2,-5.1,1.4,0.0,1.4,
