,Date,Temperature,Mean Temp (°C),Max Temp (°C),Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
90,2016-03-31,12.1325,14.0,17.3,10.7,,,34.4,
91,2016-04-01,7.275,8.2,13.8,2.6,,,0.0,
92,2016-04-02,0.7,1.0,5.1,-3.2,,,5.8,
93,2016-04-03,-4.8225,,,,,,,
94,2016-04-04,-6.6,-4.4,-0.7,-8.0,,,1.8,
95,2016-04-05,-7.475,-5.1,1.3,-11.5,,,0.3,
96,2016-04-06,-2.225,2.3,9.5,-5.0,,,8.8,
97,2016-04-07,2.15,4.5,9.5,-0.6,,,2.1,
98,2016-04-08,-2.25,1.5,5.9,-2.9,,,0.0,
99,2016-04-09,-4.325,-2.1,2.1,-6.2,,,0.0,
100,2016-04-10,-3.6,-3.5,0.6,-7.5,,,12.4,
101,2016-04-11,4.775,6.0,11.6,0.4,,,4.0,
102,2016-04-12,0.775,2.0,7.3,-3.4,,,0.0,
103,2016-04-13,0.6825,0.9,6.1,-4.3,,,0.2,
104,2016-04-14,2.65,3.1,8.6,-2.4,,,0.0,
105,2016-04-15,5.55,5.7,8.9,2.4,,,0.0,
106,2016-04-16,7.675,7.1,13.2,0.9,,,0.0,
107,2016-04-17,10.7,10.3,19.5,1.1,,,0.0,
108,2016-04-18,14.1,15.7,26.3,5.1,,,0.0,
109,2016-04-19,8.625,11.3,17.2,5.4,,,0.0,
110,2016-04-20,7.425,6.4,11.1,1.6,,,0.0,
111,2016-04-21,9.675,9.7,16.4,3.0,,,0.0,
112,2016-04-22,12.35,13.6,21.4,5.8,,,0.5,
113,2016-04-23,5.1,,,3.7,,,,
114,2016-04-24,5.35,5.1,9.9,0.2,,,0.0,
115,2016-04-25,4.8,6.5,7.4,5.6,,,0.2,
116,2016-04-26,2.95,,4.9,,,,,
117,2016-04-27,4.45,6.2,14.7,-2.3,,,0.2,
118,2016-04-28,3.925,4.4,7.6,1.1,,,0.0,
119,2016-04-29,5.775,6.0,9.6,2.3,,,0.0,
120,2016-04-30,7.4,5.7,11.5,-0.1,,,0.0,
121,2016-05-01,6.5,8.0,9.2,6.7,,,4.4,
122,2016-05-02,7.125,7.6,12.0,3.2,,,2.0,
123,2016-05-03,8.50775,7.6,13.2,1.9,,,0.3,
124,2016-05-04,8.925,8.2,14.2,2.1,,,0.0,
125,2016-05-05,10.275,11.2,14.4,7.9,,,0.0,
126,2016-05-06,12.595,12.6,20.3,4.8,,,0.0,
127,2016-05-07,11.7,11.2,17.3,5.1,,,0.0,
128,2016-05-08,7.675,9.4,15.3,3.5,,,0.0,
129,2016-05-09,6.5875,9.2,16.7,1.7,,,0.0,
130,2016-05-10,7.8275,8.2,13.8,2.5,,,0.0,
131,2016-05-11,10.0,10.3,17.7,2.9,,,0.0,
132,2016-05-12,12.675,12.0,17.4,6.5,,,19.3,
133,2016-05-13,14.725,17.7,21.3,14.0,,,4.3,
134,2016-05-14,8.275,8.7,14.5,2.8,,,3.5,
135,2016-05-15,3.1,5.3,8.5,2.0,,,0.2,
136,2016-05-16,7.225,10.2,18.8,1.5,,,1.1,
137,2016-05-17,8.625,11.4,16.8,5.9,,,0.2,
138,2016-05-18,8.8,10.5,15.6,5.3,,,0.0,
139,2016-05-19,11.8,12.4,20.1,4.6,,,0.0,
140,2016-05-20,13.775,13.7,21.7,5.6,,,0.0,
141,2016-05-21,14.55,16.4,22.5,10.2,,,0.0,
142,2016-05-22,13.225,16.8,23.4,10.1,,,0.0,
143,2016-05-23,16.0,16.5,25.9,7.1,,,0.0,
144,2016-05-24,18.325,19.9,29.4,10.4,,,0.0,
145,2016-05-25,20.3,,,15.4,,,,
146,2016-05-26,19.5075,18.4,22.4,14.4,,,1.7,
147,2016-05-27,21.605,23.4,30.7,16.0,,,0.0,
148,2016-05-28,22.575,23.8,31.3,16.3,,,0.9,
149,2016-05-29,22.175,24.6,30.3,18.9,,,0.4,
150,2016-05-30,19.875,21.9,28.0,15.8,,,0.0,
151,2016-05-31,17.6,20.9,27.8,13.9,,,0.0,
152,2016-06-01,14.05,16.0,18.1,13.9,,,0.0,
153,2016-06-02,18.625,22.3,30.4,14.2,,,1.0,
154,2016-06-03,17.275,18.5,25.0,11.9,,,0.0,
155,2016-06-04,17.375,18.2,23.7,12.6,,,5.1,
156,2016-06-05,18.45,21.0,25.6,16.3,,,13.4,
157,2016-06-06,17.05,20.3,26.4,14.1,,,3.3,
158,2016-06-07,13.75,15.8,20.2,11.3,,,0.6,
159,2016-06-08,9.9,10.7,15.1,6.3,,,0.0,
160,2016-06-09,11.675,13.8,21.3,6.2,,,0.0,
161,2016-06-10,14.45,16.3,25.1,7.5,,,0.0,
162,2016-06-11,19.875,24.2,32.2,16.2,,,0.0,
163,2016-06-12,14.875,17.1,22.0,12.2,,,0.0,
164,2016-06-13,12.975,15.6,22.2,9.0,,,0.0,
165,2016-06-14,13.9,14.5,21.2,7.7,,,0.2,
166,2016-06-15,15.1,14.7,21.7,7.6,,,2.9,
167,2016-06-16,18.1,16.6,22.0,11.2,,,0.2,
168,2016-06-17,20.925,20.4,30.2,10.6,,,0.0,
169,2016-06-18,21.475,22.8,32.4,13.2,,,0.0,
170,2016-06-19,22.7,24.4,33.1,15.7,,,0.0,
171,2016-06-20,23.95,25.1,32.6,17.6,,,2.5,
172,2016-06-21,17.75,19.3,27.2,11.3,,,0.2,
173,2016-06-22,17.0,19.5,26.7,12.2,,,0.2,
174,2016-06-23,15.975,17.1,23.5,10.6,,,0.0,
175,2016-06-24,18.425,18.5,27.5,9.4,,,0.0,
176,2016-06-25,19.55,,27.7,,,,,
177,2016-06-26,22.325,23.5,32.2,14.7,,,2.0,
178,2016-06-27,23.425,26.2,33.3,19.0,,,0.0,
179,2016-06-28,17.4,19.8,24.0,15.6,,,0.0,
180,2016-06-29,18.05,20.1,27.6,12.6,,,0.0,
181,2016-06-30,18.425,19.4,28.7,10.1,,,0.0,
182,2016-07-01,17.125,19.3,24.6,13.9,,,1.9,
183,2016-07-02,17.475,18.8,26.5,11.0,,,0.0,
184,2016-07-03,19.475,20.9,28.9,12.9,,,0.0,
185,2016-07-04,19.75,19.5,27.1,11.8,,,0.0,
186,2016-07-05,22.0,25.6,32.8,18.3,,,0.0,
187,2016-07-06,23.9,25.3,32.3,18.3,,,0.0,
188,2016-07-07,23.875,27.2,33.4,21.0,,,1.2,
189,2016-07-08,21.475,24.2,28.1,20.2,,,0.8,
190,2016-07-09,19.6,21.4,26.0,16.8,,,0.2,
191,2016-07-10,20.125,21.7,28.7,14.6,,,0.0,
192,2016-07-11,20.075,20.5,26.5,14.5,,,0.0,
193,2016-07-12,22.85,25.3,33.1,17.4,,,0.0,
194,2016-07-13,25.775,27.5,34.3,20.7,,,8.0,
195,2016-07-14,24.9,24.9,29.6,20.1,,,1.2,
196,2016-07-15,20.75,21.3,27.9,14.6,,,0.0,
197,2016-07-16,17.4,18.6,24.1,13.0,,,0.0,
198,2016-07-17,19.55,19.5,27.9,11.0,,,0.2,
199,2016-07-18,23.9,22.7,31.1,14.2,,,0.0,
200,2016-07-19,19.275,20.2,27.7,12.6,,,0.3,
201,2016-07-20,19.575,20.3,30.1,10.4,,,0.0,
