,Date,Temperature,Mean Temp (°C),Max Temp (°C),Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
0,2016-01-01,-3.4325,-0.5,1.2,-2.2,,,,
1,2016-01-02,-2.665,0.6,2.9,-1.7,,,,
2,2016-01-03,-2.1775,-3.2,2.5,-8.9,,,,
3,2016-01-04,-14.0825,-11.2,-8.6,-13.8,,,,
4,2016-01-05,-11.2875,-6.9,-1.1,-12.7,,,,
5,2016-01-06,-5.9925,0.1,3.2,-3.1,,,,
6,2016-01-07,-4.07,0.5,3.0,-2.1,,,,
7,2016-01-08,-1.2175,,,-0.4,,,,
8,2016-01-09,2.7775,6.6,10.0,3.1,,,,
9,2016-01-10,2.005,0.8,7.2,-5.7,,,,
10,2016-01-11,-7.49,-7.1,-5.4,-8.8,,,,
11,2016-01-12,-6.1825,-4.6,-0.7,-8.5,,,,
12,2016-01-13,-9.1675,-7.6,-6.3,-8.8,,,,
13,2016-01-14,-6.9625,-3.4,0.2,-6.9,,,,
14,2016-01-15,-0.3775,2.6,5.0,0.1,,,,
15,2016-01-16,-0.6725,1.5,4.5,-1.6,,,,
16,2016-01-17,-6.15,,,-1.6,,,,
17,2016-01-18,-9.81,-8.0,-6.7,-9.3,,,,
18,2016-01-19,-9.435,-8.2,-4.1,-12.2,,,,
19,2016-01-20,-6.15,-5.5,-3.7,-7.3,,,,
20,2016-01-21,-8.175,-5.0,-2.7,-7.3,,,,
21,2016-01-22,-8.8225,-4.1,-1.6,-6.6,,,,
22,2016-01-23,-10.42,-6.3,-3.6,-8.9,,,,
23,2016-01-24,-6.6625,-4.3,0.5,-9.1,,,,
24,2016-01-25,-2.23,3.0,6.0,0.0,,,,
25,2016-01-26,2.1525,4.4,7.3,1.4,,,,
26,2016-01-27,-1.8275,0.5,1.6,-0.7,,,,
27,2016-01-28,-1.285,0.7,2.9,-1.6,,,,
28,2016-01-29,-5.82,-3.4,0.8,-7.5,,,,
29,2016-01-30,-2.4475,1.0,7.0,-5.1,,,,
30,2016-01-31,3.8675,7.6,11.6,3.5,,,,
31,2016-02-01,2.7575,5.9,10.0,1.8,,,,
32,2016-02-02,-0.645,1.5,3.3,-0.4,,,,
33,2016-02-03,5.505,8.7,14.8,2.6,,,,
34,2016-02-04,0.125,1.7,4.8,-1.5,,,,
35,2016-02-05,-2.09,0.3,2.0,-1.4,,,,
36,2016-02-06,-0.97,2.2,3.5,0.8,,,,
37,2016-02-07,-0.3175,3.5,7.1,-0.1,,,,
38,2016-02-08,1.11,3.0,4.6,1.4,,,,
39,2016-02-09,-0.685,0.7,2.5,-1.1,,,,
40,2016-02-10,-4.775,-5.2,-0.9,-9.4,,,,
41,2016-02-11,-12.7775,-11.0,-8.6,-13.3,,,,
42,2016-02-12,-8.975,-7.7,-3.8,-11.5,,,,
43,2016-02-13,-18.875,-16.4,-11.2,-21.5,,,,
44,2016-02-14,-19.1375,-14.8,-8.5,-21.0,,,,
45,2016-02-15,-8.765,-5.2,0.4,-10.8,,,,
46,2016-02-16,-3.905,-0.1,1.0,-1.2,,,,
47,2016-02-17,-5.6225,-4.2,-0.2,-8.2,,,,
48,2016-02-18,-12.335,-7.9,-3.5,-12.3,,,,
49,2016-02-19,-1.59,3.4,12.2,-5.4,,,,
50,2016-02-20,4.9325,8.0,12.2,3.7,,,,
51,2016-02-21,0.9725,2.8,6.0,-0.4,,,,
52,2016-02-22,-3.6125,-1.2,0.1,-2.4,,,,
53,2016-02-23,-2.3575,-0.5,1.0,-1.9,,,,
54,2016-02-24,-0.9275,1.5,2.6,0.4,,,,
55,2016-02-25,-1.3925,-1.0,2.1,-4.0,,,,
56,2016-02-26,-9.1375,-4.9,-1.8,-7.9,,,,
57,2016-02-27,-2.6625,1.0,6.2,-4.2,,,,
58,2016-02-28,4.08,10.2,15.9,4.5,,,,
59,2016-02-29,1.2575,3.4,11.6,-4.9,,,,
60,2016-03-01,-7.4875,-5.8,-2.6,-9.0,,,,
61,2016-03-02,-9.6725,-6.4,-4.0,-8.7,,,,
62,2016-03-03,-10.295,-4.6,-2.5,-6.7,,,,
63,2016-03-04,-7.545,-2.4,-0.6,-4.1,,,,
64,2016-03-05,-7.74,-1.3,0.2,-2.8,,,,
65,2016-03-06,-6.5675,-0.6,2.9,-4.0,,,,
66,2016-03-07,3.095,7.4,12.0,2.8,,,,
67,2016-03-08,5.4775,4.3,5.4,3.2,,,,
68,2016-03-09,13.4475,11.5,18.7,4.2,,,,
69,2016-03-10,8.885,9.8,15.0,4.6,,,,
